fips,median_age,white_pct,black_pct,hispanic_pct
19143,43.5,89.7,0.8,1.6
19145,45.0,92.6,1.8,1.7
19147,41.5,92.6,1.7,0.9
19149,41.1,90.5,2.4,1.0
19151,43.9,91.7,1.1,0.9
19153,36.2,77.8,7.5,1.2
19155,40.1,89.0,1.8,1.4
19157,40.8,91.6,1.3,0.7
19159,44.6,95.9,0.2,2.6
19161,45.3,95.0,0.6,0.5
19163,39.0,80.7,7.1,1.1
19165,45.1,93.2,0.5,1.2
19167,34.0,87.8,0.6,1.3
19169,27.0,82.8,2.7,1.0
19171,41.8,81.5,1.2,8.8
19173,43.6,92.1,0.1,1.8
19175,40.6,94.2,0.5,0.6
19177,44.8,95.8,0.2,1.3
19179,39.9,82.7,3.4,2.4
19181,38.7,93.8,0.7,1.2
19183,40.3,91.3,0.6,1.1
19185,42.0,94.6,0.4,0.5
19187,39.8,86.9,3.2,1.3
19189,41.7,90.8,0.9,0.3
19191,42.2,94.4,0.7,0.9
19193,36.2,74.1,4.6,3.1
19195,44.3,94.7,0.9,0.5
19197,39.8,83.6,0.2,2.8
20001,41.3,91.1,1.9,2.6
20003,40.4,92.1,0.9,4.1
20005,36.4,87.5,4.3,1.6
20007,42.6,92.8,0.2,3.8
20009,38.8,83.6,0.7,3.1
20011,38.8,90.5,2.2,2.3
20013,42.0,83.3,1.4,11.0
20015,38.3,88.3,2.2,2.6
20017,44.5,89.0,1.2,2.9
20019,45.3,83.3,0.9,9.8
20021,42.0,87.6,0.8,7.5
20023,39.8,88.6,0.0,3.3
20025,46.5,85.3,0.0,4.7
20027,43.1,94.3,2.3,1.3
20029,39.4,92.1,0.8,1.1
20031,44.0,93.7,0.5,2.0
20033,50.8,96.5,0.3,1.7
20035,38.1,82.6,2.3,4.4
20037,33.8,88.5,2.2,2.7
20039,52.1,92.7,1.7,0.8
20041,42.1,91.8,0.3,2.1
20043,41.3,90.7,3.1,2.7
20045,31.3,79.2,4.2,4.3
20047,44.3,83.0,0.1,3.6
20049,49.6,90.8,0.1,4.3
20051,32.5,90.1,1.8,1.1
20053,43.7,86.8,3.1,3.6
20055,32.1,53.5,4.5,1.7
20057,31.9,56.3,3.1,3.2
20059,40.1,91.1,0.9,2.3
20061,27.1,60.5,16.2,3.0
20063,41.7,95.6,0.2,2.0
20065,46.1,90.9,3.7,3.2
20067,32.9,66.2,0.2,7.3
20069,36.6,92.2,0.0,1.0
20071,39.9,88.0,0.2,2.3
20073,48.4,92.9,0.6,4.8
20075,36.4,67.0,0.0,1.3
20077,40.8,90.7,0.8,3.0
20079,40.2,85.3,1.1,2.9
20081,38.0,70.9,0.2,2.5
20083,45.9,95.2,0.1,1.8
20085,41.0,84.5,0.9,9.5
20087,43.8,93.2,0.7,2.3
20089,50.3,93.1,0.8,1.2
20091,38.3,80.2,4.9,1.4
20093,37.5,75.3,1.2,1.5
20095,43.4,93.1,0.3,4.2
20097,41.2,90.3,0.8,1.5
20099,41.4,85.2,3.4,4.9
20101,48.9,90.1,0.3,2.2
20103,38.3,80.5,7.4,2.5
20105,44.1,93.9,0.2,1.1
20107,45.5,93.6,0.8,2.6
20109,41.1,90.8,0.0,4.2
20111,33.1,75.0,1.6,3.2
20113,39.1,93.0,1.7,1.2
20115,43.7,93.3,1.2,1.9
20117,42.6,94.9,0.7,1.2
20119,37.5,80.6,1.3,1.9
20121,41.8,92.0,1.1,2.3
20123,43.3,93.9,0.2,3.3
20125,40.3,79.4,4.3,7.3
20127,48.7,92.8,0.2,3.5
20129,43.7,78.1,1.3,2.2
20131,40.0,95.0,0.6,1.6
20133,40.3,91.8,1.4,3.1
20135,46.1,80.6,0.0,4.7
20137,40.2,89.6,2.7,4.2
20139,42.8,93.7,0.5,1.8
20141,46.8,92.9,0.4,2.2
20143,42.5,93.7,0.7,1.0
20145,44.9,87.5,6.8,2.7
20147,44.6,94.2,0.5,1.3
20149,36.2,90.1,1.7,1.5
20151,38.2,88.8,2.1,3.8
20153,47.0,93.6,0.0,3.0
20155,40.7,87.0,2.3,2.4
20157,46.0,95.0,0.6,1.8
20159,39.0,80.5,1.9,2.9
20161,25.2,77.9,6.3,2.3
20163,46.0,92.9,2.7,1.2
20165,46.0,90.4,0.4,2.9
20167,45.3,90.4,0.0,3.5
20169,39.8,84.8,3.7,1.7
20171,39.3,84.7,0.0,1.2
20173,35.9,71.2,7.9,3.1
20175,31.0,40.5,2.7,2.4
20177,39.6,76.1,7.6,2.8
20179,43.4,93.1,0.1,0.9
20181,38.9,81.7,3.9,3.2
20183,50.0,94.2,0.8,2.5
20185,42.1,86.7,0.2,3.7
20187,36.5,73.5,0.0,6.4
20189,38.0,68.1,0.1,2.1
20191,41.2,89.9,1.1,3.7
20193,35.3,92.5,1.3,0.4
20195,47.7,96.1,0.1,0.4
20197,43.2,91.8,0.3,3.7
20199,47.2,90.8,0.7,1.7
20201,43.9,92.9,0.2,0.5
20203,38.7,75.1,0.2,2.8
20205,42.3,93.7,0.2,4.1
20207,49.9,92.7,0.1,4.3
20209,34.2,46.5,19.3,3.7
21001,40.1,91.3,1.8,0.9
21003,40.7,95.4,0.5,2.1
21005,42.1,93.2,2.8,0.9
21007,44.2,92.0,3.6,1.3
21009,40.1,88.8,3.7,1.1
21011,39.0,95.5,1.8,0.6
21013,41.2,93.4,2.2,1.2
21015,37.7,85.3,3.8,1.0
21017,42.0,86.1,4.8,1.2
21019,42.4,93.0,2.1,0.7
21021,39.5,84.1,7.6,0.8
21023,42.0,95.4,1.2,1.6
21025,43.0,96.5,0.5,0.5
21027,42.2,94.4,1.6,0.9
